customer_age,customer_tenure_months,payment_amount,previous_payment_success_rate,previous_failed_payments,days_since_last_payment,payment_method,failure_reason,subscription_age_months,customer_lifetime_value,previous_recovery_count,recovered
21,57,1995.06,0.72,2,36,wallet,bank_error,3,24384.94,0,1
42,37,723.08,0.4,1,77,card,expired_card,10,27976.26,0,0
31,34,1375.48,0.94,3,44,card,bank_error,40,3050.73,0,0
67,7,782.41,0.49,0,66,card,insufficient_funds,1,5501.89,1,0
26,40,1008.3,0.67,1,15,wallet,network_error,7,4815.47,2,0
43,28,580.72,0.69,1,77,card,card_declined,31,1109.69,0,0
19,39,644.28,0.43,2,34,netbanking,network_error,41,8402.83,0,1
37,39,1604.98,0.43,2,70,card,card_declined,13,5000.21,1,0
45,28,1796.05,0.86,3,85,card,network_error,22,8835.65,0,0
64,14,820.66,0.58,1,44,upi,bank_error,16,1738.67,1,0
24,53,376.95,0.65,1,33,netbanking,network_error,22,13865.0,1,1
61,50,6184.94,0.74,0,79,upi,bank_error,6,5010.47,0,1
25,38,1125.17,0.62,1,6,card,expired_card,46,1381.74,1,0
64,4,1364.44,0.87,2,40,netbanking,bank_error,1,1563.33,0,0
52,42,453.53,0.93,0,6,card,network_error,2,4742.93,0,1
31,18,2567.44,0.44,0,75,card,card_declined,27,3263.07,1,0
34,44,2857.0,0.78,0,14,upi,insufficient_funds,12,2401.1,0,0
53,48,331.75,0.59,0,85,card,bank_error,6,6489.58,1,0
67,25,1020.79,0.75,3,84,upi,insufficient_funds,2,6963.78,3,0
57,7,966.51,0.69,3,5,upi,insufficient_funds,37,5988.22,1,1
21,38,5836.65,0.6,3,45,wallet,card_declined,10,1703.52,2,0
19,28,3012.51,0.46,0,59,upi,network_error,17,4542.49,0,1
23,5,397.21,0.74,0,73,card,network_error,17,5568.38,0,0
59,3,658.76,0.47,3,43,upi,network_error,6,1807.73,1,0
21,44,586.93,0.49,1,53,card,network_error,1,7067.71,2,1
46,31,1422.5,0.99,0,27,upi,bank_error,20,5932.19,1,1
35,47,3296.27,0.59,2,69,card,expired_card,18,1260.48,1,0
43,42,1183.73,0.75,3,69,card,bank_error,9,2382.98,0,0
61,58,1557.47,0.56,0,48,upi,card_declined,32,4619.12,0,1
51,20,688.82,0.92,3,79,upi,insufficient_funds,17,8793.17,2,0
27,19,1551.64,0.57,5,73,card,network_error,19,541.1,0,0
53,48,788.13,0.62,3,25,upi,insufficient_funds,13,11981.71,1,0
31,11,347.74,0.77,0,8,wallet,bank_error,1,3683.61,0,1
48,40,1482.68,0.92,2,78,card,expired_card,45,12059.44,0,0
65,3,1089.1,0.89,2,32,upi,expired_card,38,663.98,0,1
32,23,508.75,0.56,0,61,card,insufficient_funds,44,2284.07,2,0
25,7,3469.51,0.9,0,87,upi,network_error,38,7932.1,1,0
31,23,641.29,0.82,0,1,upi,card_declined,36,11395.5,2,1
40,7,1679.7,0.99,0,31,card,insufficient_funds,10,14298.58,2,0
57,46,850.83,0.96,1,71,card,bank_error,35,10216.4,0,0
38,34,3230.86,0.72,1,15,upi,card_declined,26,4806.51,1,0
33,42,928.61,0.85,2,70,netbanking,insufficient_funds,33,7815.53,1,0
62,19,339.6,0.74,0,16,card,card_declined,40,14218.56,0,1
35,58,1933.33,0.76,1,78,card,insufficient_funds,8,11804.49,0,0
64,9,3221.75,0.46,1,81,netbanking,card_declined,20,3456.62,1,0
41,48,812.95,0.4,1,74,card,insufficient_funds,2,8896.44,0,0
43,51,1763.79,0.43,1,72,card,card_declined,39,4901.44,0,0
42,18,1200.63,0.98,1,57,card,network_error,40,15061.71,2,1
62,41,838.91,0.48,0,11,card,bank_error,28,3295.67,1,1
58,48,1975.41,0.43,1,18,upi,insufficient_funds,29,8824.51,1,0
46,45,626.39,0.59,1,45,upi,insufficient_funds,25,11333.52,1,0
32,42,1121.86,0.75,2,20,card,insufficient_funds,26,2389.2,0,0
62,25,1313.1,0.97,2,80,upi,insufficient_funds,8,3282.69,1,0
18,52,1280.19,0.82,2,87,card,card_declined,30,22258.77,0,1
42,14,637.28,0.57,4,14,upi,card_declined,1,8670.95,1,0
24,44,4636.54,0.96,2,76,netbanking,insufficient_funds,28,16043.22,0,0
26,25,2653.33,0.42,0,27,upi,insufficient_funds,30,3088.19,2,1
41,19,2193.58,0.99,0,77,card,network_error,13,2540.49,1,0
18,39,2990.66,0.44,2,80,card,card_declined,41,5711.96,3,0
61,55,1150.71,0.85,1,88,card,card_declined,21,3276.23,1,0
25,15,845.64,0.43,0,76,netbanking,bank_error,21,677.62,1,1
41,16,511.67,0.96,4,9,card,network_error,40,14208.38,1,0
28,27,670.21,0.47,5,13,netbanking,card_declined,11,18956.38,0,0
68,40,539.25,0.43,1,45,card,insufficient_funds,27,14665.15,0,0
34,10,757.73,0.93,0,8,card,card_declined,5,18274.96,2,0
25,4,1330.8,0.46,0,56,wallet,bank_error,13,8267.12,0,0
52,51,2079.36,0.88,1,82,card,bank_error,12,3926.3,1,0
52,19,2039.47,0.85,1,7,upi,card_declined,40,29911.9,0,0
50,28,482.97,0.76,0,77,card,insufficient_funds,33,16486.41,0,1
22,21,1776.48,0.63,2,15,card,bank_error,30,9343.77,0,0
59,59,2442.31,0.95,3,56,upi,insufficient_funds,3,648.22,0,0
56,47,917.85,0.92,1,84,wallet,insufficient_funds,23,5841.17,0,0
58,14,2536.21,0.66,2,56,upi,insufficient_funds,31,3846.48,0,1
45,33,2024.46,0.54,2,37,card,network_error,6,6565.71,0,0
24,48,452.5,0.56,2,64,upi,card_declined,11,2610.96,0,0
26,10,5085.84,0.53,2,17,card,insufficient_funds,37,6848.62,0,0
25,19,664.51,0.72,4,21,upi,expired_card,39,2691.57,1,0
29,30,2143.5,0.92,4,78,upi,network_error,47,9000.06,1,0
51,22,2089.87,0.86,1,86,card,bank_error,45,2168.8,0,1
50,3,465.54,0.88,3,52,upi,card_declined,37,6264.96,1,1
65,37,1243.0,0.67,1,33,card,bank_error,39,6009.62,1,0
40,41,2071.94,0.59,3,77,upi,card_declined,6,6322.92,1,0
41,18,462.1,0.85,1,12,netbanking,insufficient_funds,18,3660.95,0,1
54,11,1175.83,0.88,1,46,card,insufficient_funds,1,3269.68,0,0
52,48,2197.05,0.82,0,70,card,card_declined,18,13379.46,2,0
61,2,2298.63,0.42,2,75,upi,bank_error,11,5349.59,2,0
57,12,830.52,0.75,1,87,upi,insufficient_funds,42,3605.86,0,0
39,54,3232.65,0.61,0,71,card,bank_error,6,3769.88,0,0
44,6,2734.94,0.52,2,57,card,expired_card,5,7716.87,0,0
52,43,1298.36,0.82,0,20,upi,insufficient_funds,24,2802.38,1,0
18,59,691.41,0.56,1,68,card,insufficient_funds,2,3818.01,1,0
52,40,484.88,0.95,2,85,upi,insufficient_funds,35,3193.16,0,0
54,44,1428.36,0.58,1,44,card,network_error,34,17720.36,1,0
64,29,3056.91,0.73,0,30,card,network_error,42,3804.42,0,0
31,59,989.3,0.9,0,25,upi,card_declined,2,2039.6,1,1
20,30,601.03,0.64,2,31,upi,insufficient_funds,12,1839.18,0,0
18,2,1953.63,0.9,1,2,card,card_declined,2,3356.79,0,0
22,9,1239.12,0.83,0,84,card,network_error,47,3708.24,1,0
43,47,1573.62,0.95,2,54,card,insufficient_funds,35,5390.75,0,1
31,2,759.23,0.6,2,14,card,bank_error,29,2778.63,2,0
56,29,846.49,0.46,1,23,card,insufficient_funds,33,5002.87,0,0
44,33,756.73,0.66,4,69,card,network_error,5,17643.99,0,0
26,10,1555.29,0.87,3,52,wallet,insufficient_funds,43,4415.82,1,0
32,34,864.73,0.67,1,83,upi,insufficient_funds,43,12881.25,1,0
32,44,1660.21,0.56,2,50,wallet,card_declined,33,5616.28,3,0
43,55,709.84,0.42,3,71,card,network_error,39,2835.89,0,0
59,8,1553.48,0.59,2,85,upi,insufficient_funds,13,2910.07,0,0
30,37,1794.8,0.83,1,33,card,card_declined,31,6629.86,1,0
68,54,1383.1,0.49,0,84,card,card_declined,36,1092.14,0,1
49,33,2083.76,0.6,4,9,upi,card_declined,19,5853.46,2,0
56,47,782.88,0.41,1,8,upi,bank_error,25,1951.58,0,0
66,6,1780.86,0.83,4,75,card,card_declined,43,11864.38,1,0
69,44,1291.22,0.93,2,7,card,bank_error,35,12984.2,1,1
49,40,622.15,0.74,0,21,card,card_declined,37,3833.48,3,1
21,45,288.61,0.42,2,53,card,bank_error,39,29016.24,0,0
47,19,335.22,0.53,3,15,upi,card_declined,33,2703.04,0,0
54,32,233.73,0.66,1,72,card,insufficient_funds,43,2227.24,1,0
40,27,1477.77,0.75,4,52,upi,insufficient_funds,3,3903.5,0,0
56,1,873.63,0.7,0,76,upi,network_error,47,600.81,0,0
62,43,1165.67,0.95,0,69,card,bank_error,42,4633.36,1,1
32,52,966.54,0.96,3,72,card,insufficient_funds,24,3190.31,0,0
60,33,1647.76,0.46,2,37,card,network_error,3,32738.63,1,1
46,40,1681.83,0.48,2,78,card,network_error,7,1916.84,0,0
53,32,1130.07,0.61,1,4,upi,network_error,13,34149.3,1,1
30,5,1178.97,0.65,1,79,card,insufficient_funds,24,12361.78,1,0
49,17,1212.4,0.75,2,84,netbanking,insufficient_funds,38,1365.0,0,0
24,8,2905.17,0.86,1,61,card,insufficient_funds,30,5760.97,1,1
68,57,269.56,0.48,0,22,upi,insufficient_funds,5,7850.3,1,1
39,42,685.83,0.88,1,49,netbanking,insufficient_funds,23,4542.6,0,0
45,34,2009.58,0.77,1,36,netbanking,insufficient_funds,41,1714.79,0,0
19,9,2381.61,0.99,5,63,upi,insufficient_funds,44,2109.54,1,0
59,56,1478.88,0.79,1,38,card,card_declined,27,3044.44,1,1
62,23,964.02,0.83,1,40,upi,bank_error,18,3533.0,1,0
23,35,4036.33,0.52,4,64,card,bank_error,40,4050.45,1,0
45,50,1241.99,0.86,4,68,upi,insufficient_funds,20,1419.38,0,0
45,7,1120.52,0.45,4,56,upi,insufficient_funds,6,6822.27,1,0
61,15,2785.69,0.79,5,14,upi,bank_error,30,7098.17,1,0
61,53,1529.79,0.43,4,2,card,card_declined,6,1422.53,0,0
37,54,2117.27,0.47,2,63,upi,bank_error,17,7361.97,0,0
47,20,2298.2,0.46,2,19,card,card_declined,43,413.82,4,0
28,50,844.94,0.43,0,78,upi,bank_error,36,1954.17,0,0
45,25,3779.75,0.59,1,71,upi,card_declined,15,1902.23,1,0
42,3,195.69,1.0,2,9,upi,network_error,17,8780.87,2,1
56,55,274.3,0.61,1,33,netbanking,card_declined,25,2238.86,2,1
50,46,681.2,0.86,2,88,upi,insufficient_funds,44,2837.35,1,0
18,24,815.37,0.48,0,61,upi,expired_card,30,8855.47,1,0
44,34,1413.52,0.67,2,85,card,insufficient_funds,43,3778.59,1,1
69,46,676.81,0.51,0,44,card,card_declined,40,2984.91,0,1
30,22,1087.52,0.52,2,65,card,bank_error,17,765.26,0,0
58,11,949.94,0.46,2,85,card,card_declined,5,7288.24,1,0
20,48,4460.99,0.66,1,57,upi,insufficient_funds,44,11794.69,2,0
56,8,624.23,0.45,0,24,upi,insufficient_funds,42,4981.34,2,0
23,39,337.6,0.95,1,44,wallet,insufficient_funds,42,11032.14,0,0
25,43,2400.18,0.67,0,68,upi,insufficient_funds,35,6059.39,0,0
44,35,665.29,0.9,1,6,wallet,insufficient_funds,11,2797.23,0,1
26,49,1028.48,0.99,2,67,card,expired_card,28,12790.6,0,0
54,46,697.62,0.81,2,34,upi,network_error,44,11427.93,3,1
50,38,1837.25,0.94,1,25,wallet,insufficient_funds,20,4015.12,3,1
68,8,419.06,0.48,2,27,upi,card_declined,2,7403.41,0,0
59,54,154.56,0.9,1,18,upi,insufficient_funds,41,20264.67,1,1
61,37,2716.23,0.56,1,5,upi,card_declined,33,3491.78,1,0
41,27,1304.05,0.68,1,88,netbanking,network_error,36,9630.73,0,0
32,28,2323.55,0.79,1,85,wallet,bank_error,10,8379.51,3,0
49,40,2653.27,0.94,0,44,upi,bank_error,45,5953.23,1,1
49,34,577.36,0.95,1,5,upi,card_declined,19,4630.36,0,0
41,32,1144.21,0.46,1,61,wallet,card_declined,25,833.79,0,0
58,15,1562.08,0.62,0,6,card,card_declined,27,12668.84,1,0
69,44,1016.58,0.88,3,75,upi,card_declined,35,2159.8,1,0
66,17,881.38,0.82,2,39,wallet,insufficient_funds,23,6633.59,1,1
66,33,944.3,0.42,2,8,card,network_error,43,3171.32,0,0
69,47,2341.34,0.67,2,75,upi,network_error,34,17829.76,2,0
29,46,914.79,0.9,1,84,upi,card_declined,8,2549.18,1,0
56,52,1669.3,0.84,1,43,card,card_declined,2,3155.66,2,0
19,54,1398.04,0.65,1,86,netbanking,bank_error,25,27256.18,0,0
20,16,558.4,0.84,1,41,card,network_error,9,9054.52,0,1
66,29,1354.76,0.73,1,76,upi,bank_error,25,2874.5,1,1
54,9,373.5,0.95,2,69,upi,bank_error,45,3882.27,2,1
66,33,1452.44,0.75,1,30,card,bank_error,29,7076.6,3,1
34,49,2046.29,0.64,1,59,card,bank_error,22,2418.82,1,0
66,29,2404.24,0.92,1,23,upi,expired_card,14,3228.01,0,0
19,13,562.91,0.43,0,57,card,insufficient_funds,43,4339.55,0,1
19,21,753.47,0.94,1,25,card,insufficient_funds,11,6237.8,1,1
45,58,1337.89,0.82,3,48,card,insufficient_funds,13,8157.21,0,0
40,21,785.92,0.96,1,70,netbanking,card_declined,33,1383.18,1,0
54,5,284.23,0.55,1,42,card,card_declined,3,3127.28,0,0
49,10,750.55,0.82,0,29,card,bank_error,47,5305.84,2,1
50,6,1334.27,0.89,0,85,upi,card_declined,36,13485.39,2,0
18,56,2315.24,0.82,0,71,card,expired_card,42,5268.87,1,0
36,51,3577.59,0.53,0,45,upi,bank_error,32,10120.77,1,1
19,57,1196.87,0.57,1,41,upi,insufficient_funds,36,3117.13,1,0
61,13,1630.34,0.74,2,73,card,insufficient_funds,43,12761.36,0,0
43,1,2148.55,0.67,2,63,card,bank_error,36,4184.93,1,0
49,20,261.02,0.84,3,47,card,insufficient_funds,35,10362.07,0,0
23,57,537.3,0.63,2,1,wallet,insufficient_funds,5,4656.36,0,1
49,47,1178.26,0.92,2,20,upi,insufficient_funds,12,9990.23,1,0
21,46,3258.95,0.66,0,19,card,insufficient_funds,19,3987.12,1,1
28,8,1704.17,0.42,2,65,card,expired_card,40,6461.98,1,0
34,10,1381.31,0.41,3,74,upi,network_error,27,4725.12,0,0
55,9,934.79,0.79,2,36,upi,insufficient_funds,35,5518.29,0,0
41,49,1478.46,0.72,0,23,card,network_error,10,8794.95,3,1
22,41,722.34,0.73,3,82,card,insufficient_funds,28,8920.38,1,1
69,3,635.31,0.87,0,29,upi,insufficient_funds,33,1736.34,2,0
51,11,675.16,0.63,4,44,netbanking,network_error,47,12233.54,0,0
23,12,2802.7,1.0,0,7,card,network_error,47,1714.86,0,1
39,10,609.0,0.97,1,31,card,card_declined,43,6540.66,0,0
28,25,829.53,0.41,0,38,card,expired_card,36,1942.77,1,0
65,49,1524.94,0.94,1,66,card,bank_error,35,11934.59,0,1
33,49,592.22,0.81,1,79,card,bank_error,17,10857.83,0,1
50,25,1284.74,0.7,1,22,card,network_error,11,5673.33,0,0
26,11,1284.42,0.75,1,75,upi,insufficient_funds,36,2760.21,2,0
23,54,708.31,0.91,0,54,card,expired_card,37,30935.68,0,0
33,36,914.94,0.97,3,54,card,insufficient_funds,18,3830.5,0,1
46,39,566.51,0.74,2,83,upi,insufficient_funds,31,3021.02,3,1
20,53,2886.89,0.51,1,6,upi,bank_error,35,275.29,1,1
37,26,1313.32,0.78,2,73,netbanking,bank_error,28,1469.68,0,1
53,14,526.34,0.45,1,62,card,insufficient_funds,1,13819.36,0,0
36,39,1198.02,0.78,1,29,card,card_declined,31,4192.4,2,1
43,56,1236.59,0.89,0,43,card,network_error,27,3335.68,1,1
20,40,228.09,0.61,0,67,upi,bank_error,40,8367.31,1,1
36,1,2802.62,0.44,0,62,card,network_error,12,2908.89,1,0
37,56,548.55,0.82,2,13,card,bank_error,12,1790.79,0,1
49,54,4736.96,0.6,3,64,card,bank_error,27,7107.81,2,1
24,4,1913.53,0.55,1,47,wallet,card_declined,27,7306.94,0,0
69,30,498.31,0.81,0,60,wallet,expired_card,46,7978.78,0,0
58,12,880.09,0.98,3,15,upi,network_error,17,1215.57,0,1
50,56,2091.91,0.85,2,5,card,network_error,25,9193.97,1,1
57,35,928.5,0.69,2,69,upi,card_declined,30,7659.99,0,0
56,13,2501.8,0.76,0,2,upi,network_error,10,6492.96,0,1
35,52,842.82,0.49,1,38,upi,network_error,40,6922.89,3,1
57,31,1037.88,0.89,3,54,netbanking,network_error,15,6943.9,1,0
18,38,2132.62,0.76,3,39,card,card_declined,19,2516.9,0,0
28,43,1673.0,0.98,1,20,wallet,insufficient_funds,4,2010.1,0,1
45,23,573.83,0.99,1,20,netbanking,network_error,15,8953.92,0,1
42,4,1485.99,0.61,2,29,upi,card_declined,37,4210.48,0,0
67,52,1233.01,0.99,1,35,upi,insufficient_funds,15,19756.25,0,1
40,16,579.28,0.97,0,32,card,bank_error,33,3396.72,0,1
48,7,414.33,0.78,2,17,upi,insufficient_funds,13,5025.07,2,0
47,22,283.73,0.6,1,51,upi,card_declined,17,1805.75,0,1
59,29,892.39,0.85,1,8,card,expired_card,19,2002.75,1,0
52,11,1055.95,0.56,0,21,card,network_error,13,2916.46,0,0
24,56,1561.19,0.78,0,23,upi,insufficient_funds,6,1972.0,2,1
33,33,1947.56,0.41,5,51,wallet,insufficient_funds,40,10608.36,0,0
43,58,820.82,0.78,3,6,card,insufficient_funds,30,10499.94,0,1
65,29,1034.68,0.97,1,52,card,insufficient_funds,36,854.67,0,1
69,59,644.77,0.54,2,8,netbanking,insufficient_funds,31,2218.18,3,0
66,39,1165.69,0.87,0,69,card,card_declined,13,3118.6,2,1
19,12,2160.2,0.58,2,33,wallet,insufficient_funds,24,7191.44,0,0
18,7,1177.09,0.82,2,62,upi,bank_error,29,3590.06,0,1
65,59,2475.82,0.82,1,65,wallet,network_error,46,477.58,0,1
29,55,2135.05,0.51,1,63,netbanking,network_error,2,1402.0,3,0
22,39,3042.36,0.76,1,88,upi,network_error,16,16172.76,0,0
54,42,1200.46,0.92,2,32,card,card_declined,12,2694.17,0,0
49,48,755.44,0.63,0,55,card,card_declined,28,7541.67,0,1
26,26,1694.03,0.83,2,33,card,bank_error,26,9320.42,0,0
58,40,844.69,0.8,0,38,netbanking,expired_card,32,1567.95,0,0
52,9,1657.22,0.55,2,2,upi,network_error,42,4635.15,1,0
36,41,689.55,0.95,2,81,card,bank_error,4,19649.76,1,1
65,34,614.07,0.74,3,10,card,network_error,5,6349.46,3,1
33,45,2569.62,0.61,2,66,card,card_declined,17,5367.74,1,0
20,13,539.8,0.5,3,76,upi,insufficient_funds,20,4838.8,1,0
37,55,2243.01,0.68,0,15,card,card_declined,40,13026.26,0,1
41,55,1652.79,0.84,2,87,card,bank_error,29,27672.12,1,1
50,36,1171.46,0.77,2,82,upi,insufficient_funds,25,931.56,1,0
41,25,291.53,0.84,3,61,card,insufficient_funds,18,30728.78,1,1
69,24,3102.49,0.88,3,31,card,bank_error,22,7780.41,0,0
28,44,569.99,0.66,1,38,card,card_declined,8,8964.23,1,0
66,17,2137.11,0.71,1,29,wallet,insufficient_funds,40,3746.54,0,0
25,2,676.1,0.99,4,78,card,bank_error,47,22878.69,0,1
53,13,639.18,0.98,2,43,upi,network_error,40,4874.93,0,0
55,31,1751.16,0.65,1,23,upi,card_declined,10,5261.29,0,0
57,29,1598.67,0.81,2,25,upi,insufficient_funds,17,2494.34,2,1
37,50,491.98,0.56,2,28,card,network_error,46,1868.32,0,0
52,28,2998.09,0.49,0,72,card,bank_error,20,2221.97,0,1
65,27,949.34,0.86,1,83,card,expired_card,27,11602.44,1,1
42,15,1150.84,0.66,2,1,card,network_error,2,13107.42,1,1
52,31,890.73,0.51,1,20,upi,card_declined,29,10774.15,2,0
42,40,506.77,0.86,1,29,card,bank_error,6,4574.01,2,1
46,15,1834.74,0.95,1,8,card,network_error,20,10125.4,0,1
35,33,1343.03,0.96,2,62,card,bank_error,37,2655.61,1,0
63,20,624.18,0.76,3,14,upi,insufficient_funds,19,4842.6,0,1
35,42,2123.65,0.69,1,38,netbanking,network_error,11,3173.73,0,1
19,12,1139.55,0.49,2,3,card,bank_error,18,2770.22,0,0
52,37,1156.86,0.88,3,3,card,card_declined,39,5728.29,1,0
33,9,3803.07,0.97,1,55,card,bank_error,22,7861.74,0,1
58,23,355.81,0.93,0,78,card,card_declined,14,3891.2,0,0
53,8,352.54,0.85,1,21,card,card_declined,42,8104.94,0,1
50,32,412.73,0.4,5,35,card,bank_error,6,4852.09,0,0
21,48,1414.52,0.64,1,44,wallet,insufficient_funds,21,933.9,0,0
50,14,852.92,0.65,0,44,upi,expired_card,8,2352.73,0,0
31,27,901.73,0.94,0,43,wallet,insufficient_funds,18,6858.31,0,0
38,25,566.97,0.44,0,41,card,network_error,22,7109.58,0,1
65,13,3518.1,0.72,2,27,netbanking,expired_card,6,3298.93,2,0
37,55,4450.24,0.48,0,28,netbanking,insufficient_funds,35,2346.86,2,0
25,21,2057.47,0.8,1,5,netbanking,insufficient_funds,35,14683.51,1,1
24,45,381.8,0.88,2,43,card,bank_error,46,8736.13,0,0
20,31,779.91,0.79,1,63,upi,bank_error,45,1017.89,3,1
34,37,1957.11,0.88,1,39,upi,bank_error,9,5351.73,0,1
50,48,1062.01,0.76,1,10,upi,card_declined,16,5170.36,2,0
65,58,2062.25,0.51,1,63,upi,expired_card,11,2779.03,0,0
29,43,2626.67,0.63,1,9,upi,bank_error,21,4221.9,0,1
68,54,4167.36,0.97,1,84,wallet,card_declined,42,1718.01,1,0
39,5,693.39,0.57,1,29,netbanking,bank_error,23,9527.44,1,1
39,13,1160.84,0.44,1,28,netbanking,insufficient_funds,45,15832.19,0,0
63,28,805.5,0.63,1,11,upi,card_declined,20,2435.01,1,0
47,43,270.28,0.62,2,85,upi,card_declined,17,4073.48,2,0
55,25,1792.04,0.68,1,87,card,card_declined,31,2024.18,0,0
55,51,1626.86,0.74,1,15,card,insufficient_funds,18,3524.05,0,0
62,35,747.86,1.0,0,81,netbanking,card_declined,29,8336.88,1,0
68,47,358.3,0.85,1,24,wallet,insufficient_funds,32,4314.2,0,1
25,39,838.08,0.42,0,35,upi,card_declined,8,8920.87,2,0
44,7,1829.48,0.83,1,61,netbanking,card_declined,9,30443.3,3,0
44,38,2796.53,0.89,2,20,card,card_declined,46,3045.54,1,1
51,32,665.94,0.94,1,58,card,bank_error,6,5604.9,0,0
38,3,2381.27,0.65,2,63,netbanking,insufficient_funds,5,3572.48,1,0
47,45,1695.49,0.59,4,75,card,bank_error,45,8706.58,1,0
50,39,1464.49,0.9,2,60,card,card_declined,13,5195.68,0,0
45,37,443.42,0.87,0,39,card,insufficient_funds,25,5939.29,1,1
64,55,457.11,0.72,1,20,card,insufficient_funds,31,4999.09,0,0
50,50,613.05,0.47,3,86,card,bank_error,34,4596.5,2,0
22,22,872.64,0.79,0,88,card,bank_error,17,6762.47,0,1
65,8,3868.11,0.44,0,58,wallet,insufficient_funds,26,5643.09,0,0
36,17,689.82,0.46,1,64,netbanking,insufficient_funds,20,12333.53,0,0
21,52,1881.6,0.6,0,14,card,network_error,6,4286.5,0,1
52,27,792.08,0.62,1,36,upi,card_declined,32,19698.54,0,0
66,33,1526.75,0.68,0,13,card,bank_error,33,5812.12,1,1
34,46,1049.34,0.6,2,1,upi,expired_card,20,30682.47,0,0
61,17,1241.3,0.42,2,13,upi,bank_error,47,14237.17,0,0
45,42,1420.45,0.49,3,35,upi,insufficient_funds,11,4596.61,0,0
47,12,920.93,0.47,4,8,upi,insufficient_funds,47,3878.41,3,0
46,48,1425.28,0.66,1,18,card,bank_error,10,1796.18,2,0
63,46,2601.23,0.53,1,34,netbanking,card_declined,43,16499.12,1,1
23,27,646.85,0.58,3,52,upi,card_declined,39,27731.97,1,0
52,48,2515.2,0.68,0,70,upi,network_error,19,2895.31,0,0
58,8,910.83,0.54,1,58,card,card_declined,27,4961.55,1,0
54,23,845.82,0.55,2,27,upi,bank_error,40,6243.9,0,1
